Company,Time,Financial Distress,CLASS,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83
1,2,-0.45597,0,1.27,0.0064542,0.82067,1.0049,-0.01408,0.18104,0.62288,0.006423,0.035991,0.0017951,0.85152,-0.48644,0.17933,4.5764,3.7521,-0.014011,2.4575,0.027558,0.028804,0.041102,1.1801,7.2952,0.056026,0.67048,38.242,12.877,5.5506,0.26548,0.15019,0.41763,9.5276,0.41561,0.81699,2.6033,95.947,0.0075797,0.83754,0.027425,0.045434,0.13774,5.6035,-0.64385,1.3019,0.046857,1.0095,0.0078645,4.6022,1062.5,3.7389,0.94397,12.881,-0.00056494,0.056298,250.14,-0.47477,0.38599,0.36933,0.0,0.0,0.0,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,0.1896,15.6,24.579,0.0,36.0,107.09,31.31,30.194,17.0,16.0,0.4,22,0.010636,31,50
1,4,-0.56657,1,1.1131,-0.015229,0.85888,0.80974,0.076037,0.091033,0.67546,-0.018807,-0.10791,-0.065316,0.89581,0.9949,0.14112,6.0862,1.6382,0.093904,2.0588,0.011601,0.094385,0.014415,0.90391,7.9828,0.12516,0.80478,-75.867,13.305,8.895,0.083774,0.054098,0.5436,7.0909,0.67133,0.93701,2.3533,219.75,-0.017,0.38335,0.014327,0.20337,0.10143,5.7379,0.72205,1.3912,-0.15013,0.64508,-0.017731,6.1114,703.04,5.7028,0.87484,13.094,0.1084,0.10135,413.74,0.565,0.34408,0.073356,3.66e-05,4.53e-05,0.0,5.1442,9.9099,2.0408,-1.4903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4.0,33.0,54.806,39.8,38.377,17.167,16.0,5.6,22,-0.32539,33,52
2,2,0.0071875,0,1.0558,0.081916,0.87949,0.68673,0.14263,0.043102,0.77198,0.11928,0.67973,0.063605,0.81574,2.3646,0.12051,7.2978,1.2609,0.20769,2.9089,0.012307,0.087834,0.015929,0.84185,3.8821,0.23988,0.77264,1748.0,12.048,15.933,0.60471,0.10685,0.59646,5.5914,0.86856,0.87851,3.8269,285.5,0.10042,0.8866,0.017922,0.31829,0.1769,5.6983,0.22828,0.68127,0.46308,0.35765,0.093141,7.3356,2571.6,6.4112,0.76012,11.672,0.22394,0.16473,412.79,0.10245,0.17945,0.61177,-0.011241,-0.016369,0.22445,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,0.1896,15.6,24.579,0.0,36.0,107.09,31.31,30.194,17.0,16.0,0.4,29,1.3573,8,28
2,4,2.2348,0,1.059,0.1302,0.81811,0.87599,0.23445,0.045576,0.78727,0.14864,0.71584,0.092603,0.8181,3.1209,0.18189,4.4979,1.5652,0.26764,3.3634,0.0036553,0.085757,0.0047316,1.0708,4.9847,0.3025,0.77253,1687.5,12.242,19.221,0.050427,0.045585,0.60819,4.679,0.69429,0.94428,4.8221,230.0,0.15915,0.25062,0.0041728,0.13629,0.17574,4.8161,0.79808,1.035,0.7409,0.25057,0.15915,4.5109,2357.4,4.2473,0.6975,12.11,0.28792,0.26499,698.67,0.28522,0.18166,0.035049,-0.026267,-0.029986,0.18291,5.1442,9.9099,2.0408,-1.4903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4.0,33.0,54.806,39.8,38.377,17.167,16.0,5.6,29,1.2002,10,30
2,5,1.3405,0,1.1245,0.14784,0.75871,1.0799,0.27644,0.089408,0.80356,0.1369,0.61271,0.15897,0.8074,4.3773,0.24129,3.1444,2.043,0.25598,3.6609,0.019331,0.058481,0.026924,1.3375,5.7869,0.32718,0.71799,2078.3,12.324,12.079,0.084656,0.040716,0.57695,2.5889,0.53425,0.94634,5.4411,176.22,0.18311,0.16874,0.0179,0.33717,0.18661,4.4756,0.23159,1.293,0.79223,0.37054,0.19486,3.1507,3392.0,2.9756,0.67282,12.4,0.27446,0.35333,1042.5,0.10378,0.19848,0.1518,-0.074243,-0.068748,0.22221,5.3189,5.7874,3.9589,4.1343,3.8227,39.432,11.3,9225.9,-43.911,11.9,25.157,4.0,31.0,59.806,44.53,42.822,15.5,14.0,2.1,29,2.2348,11,31
2,7,2.3459,0,1.5756,0.2621,0.56448,1.1565,0.34862,0.29984,0.85817,0.22663,0.6018,0.2816,0.82076,22.353,0.43552,1.2961,2.7964,0.30145,2.368,0.018611,0.013486,0.035728,1.409,6.9621,0.33524,0.52091,1905.6,12.763,3.8569,0.3416,0.043566,0.44703,3.5866,0.38655,0.92282,3.5622,128.74,0.31933,0.10003,0.016093,0.1819,0.16611,2.6554,0.33974,2.6219,1.5779,0.68847,0.46431,1.297,3166.5,1.1961,0.66476,12.908,0.31169,0.38769,1406.3,0.1452,0.32465,0.15857,-0.0026964,-0.0023316,0.22077,-0.075348,-0.23637,-3.0266,5.7748,-20.982,15.916,10.4,9667.3,4.7909,25.4,41.598,0.0,28.0,79.951,66.12,59.471,18.0,12.0,-13.4,29,2.0474,13,33
2,8,2.2499,0,1.5443,0.24091,0.59073,1.077,0.32561,0.30117,1.121,0.22369,0.58863,0.2776,0.85453,19.79,0.40927,1.4434,1.8215,0.30234,3.4133,0.024321,0.015278,0.043952,1.2603,7.8494,0.33971,0.55335,2035.8,13.319,3.5759,0.74347,0.037377,0.6203,2.6874,0.57597,0.93673,5.1694,197.64,0.28192,0.091326,0.022583,0.6236,0.1372,2.6314,0.60254,2.9829,1.7559,0.73588,0.40782,1.447,3458.6,1.352,0.66029,13.393,0.3095,0.36586,2267.4,0.23152,0.20834,0.44007,-0.00057524,-0.00053413,0.22343,0.0054619,-2.5748,-0.39328,-1.6532,57.368,23.905,11.9,9979.2,51.714,10.8,-1.7109,2.0,28.0,84.66,73.2,63.88,16.0,12.0,1.2,29,2.3459,14,34
2,9,2.2826,0,1.7217,0.21525,0.55229,0.84101,0.2935,0.33336,1.2869,0.25594,0.48077,0.29988,0.79527,14.713,0.44771,1.2336,6.1565,0.34898,2.9763,0.025124,0.02372,0.054392,1.0575,4.2601,0.42764,0.46191,1615.0,13.528,2.5228,0.23312,0.090386,0.59444,3.8913,0.70682,0.83634,5.2,58.475,0.27066,0.20189,0.029873,-0.037053,0.19742,1.8785,0.10175,2.2678,1.0903,0.74459,0.38973,1.2366,3359.1,1.0317,0.57236,13.355,0.35716,0.35965,1984.3,0.048413,0.16173,0.77428,-0.00074905,-0.00089065,0.22358,5.7265,8.4799,7.4959,2.3437,85.814,25.17,13.5,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,29,2.2499,15,35
2,10,1.7982,0,1.7232,0.20863,0.53398,0.78651,0.29303,0.3298,1.3548,0.26526,0.44769,0.31379,0.78584,12.36,0.46602,1.1458,1.2984,0.37257,2.7874,0.0046487,0.030144,0.010194,1.0009,3.824,0.45072,0.45605,1517.6,13.72,2.3848,0.21191,0.077934,0.61784,6.4314,0.78555,0.85405,5.0746,277.27,0.26549,0.16723,0.0059106,0.13338,0.20568,1.6877,0.17466,2.2658,1.0144,0.70769,0.39071,1.1476,3389.9,0.9786,0.54928,13.48,0.38133,0.3545,2187.0,0.080316,0.15499,0.26261,-0.00067856,-0.00086275,0.2274,3.0621,3.9554,-0.53449,-9.302,11.207,20.132,12.3,13568.0,14.529,21.5,33.768,2.0,22.0,100.0,100.0,100.0,17.125,14.5,-7.0,29,2.2826,16,36
2,12,2.9413,0,2.1723,0.31945,0.44139,0.94698,0.4274,0.48126,1.392,0.33734,0.57188,0.40179,0.89178,10.686,0.55861,0.79017,4.9692,0.45132,1.9826,0.038543,0.042237,0.093889,1.0619,8.9567,0.49243,0.41052,2248.3,14.381,1.9677,0.3707,0.030874,0.57144,9.535,0.60344,0.93005,3.9062,72.446,0.35822,0.05527,0.040701,0.78254,0.10573,1.6953,1.3512,5.2834,3.0214,0.86153,0.72374,0.79061,3931.4,0.7349,0.50757,14.326,0.46243,0.46633,4272.3,0.4032,0.24243,-0.13228,0.00012618,0.00013324,0.21425,-0.32511,-0.71099,-3.0659,-17.899,107.71,38.823,10.4,31839.0,-25.841,34.7,36.03,2.0,32.0,87.1,175.9,178.1,20.0,14.5,-20.2,29,2.8277,18,38
2,13,2.6598,0,2.0924,0.30348,0.43822,0.99193,0.4263,0.46532,1.4912,0.30595,0.54022,0.40856,0.8913,11.393,0.56178,0.78007,3.4146,0.42977,2.2487,0.016099,0.037721,0.037793,1.1129,9.8047,0.51161,0.42597,2184.8,14.586,2.1317,0.22751,0.01225,0.63521,9.9398,0.64037,0.97205,4.6043,105.43,0.3405,0.021807,0.01623,0.28578,0.10117,1.7657,0.16615,5.5528,2.9998,0.82831,0.69253,0.78026,4044.3,0.75826,0.48839,14.577,0.44034,0.50748,5137.5,0.076703,0.21544,0.17457,0.0,0.0,0.22401,3.2148,1.5719,7.1562,-4.5408,-20.861,22.334,10.6,32801.0,-58.122,15.6,22.571,2.0,30.0,92.9,203.2,204.5,22.0,22.0,6.4,29,2.9413,19,39
2,14,2.232,0,2.2263,0.32588,0.40651,0.90804,0.45534,0.49355,1.6528,0.35888,0.54909,0.41963,0.89601,12.617,0.59349,0.68495,1.3911,0.50146,1.9978,0.0086489,0.039744,0.02149,1.0134,9.5263,0.58209,0.40246,2065.6,14.864,1.8398,0.32065,0.0040476,0.66519,3.4925,0.73255,0.99004,4.7804,258.79,0.3637,0.00682,0.0095247,0.20896,0.09532,1.53,0.41811,6.2263,3.4188,0.8316,0.80166,0.68506,3761.8,0.67812,0.41791,14.767,0.51072,0.52857,6037.3,0.17291,0.18995,0.24429,0.0,0.0,0.22466,-1.5863,-7.5046,12.145,-20.229,28.286,30.023,11.0,34501.0,-32.209,11.9,13.871,1.0,29.0,91.7,227.5,214.5,21.0,20.5,8.6,29,2.6598,20,40
4,2,0.003775,0,0.93286,0.042339,0.61528,0.49212,0.08786,-0.039606,0.1909,0.086033,0.11005,0.00495,0.55026,1.8168,0.38472,1.5993,7.9159,0.17853,0.89707,0.02296,0.098269,0.038925,0.89434,1.3211,0.24486,0.58987,194.59,12.815,-12.426,0.18911,0.025414,0.1126,2.9746,0.22881,0.9587,1.188,45.478,0.076943,0.066058,0.046656,0.18557,0.37252,1.2792,-0.21715,1.0327,0.11366,-0.10295,0.068812,1.6215,1768.1,1.5333,0.75514,12.106,0.22877,0.1205,274.99,-0.1218,0.41426,0.055868,-0.0078139,-0.015878,0.19204,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,0.1896,15.6,24.579,0.0,36.0,107.09,31.31,30.194,17.0,16.0,0.4,12,0.02275,29,45
4,3,0.00018333,0,0.93575,0.051198,0.64823,0.63071,0.089359,-0.040794,0.19663,0.081176,0.14554,0.00075299,0.59413,2.1539,0.35177,1.8428,7.6529,0.14168,1.1333,0.037156,0.065778,0.05852,1.0616,1.8886,0.22281,0.63492,256.68,12.902,-15.461,0.090819,0.013304,0.12484,2.1968,0.19794,0.97948,1.4583,47.041,0.086173,0.037821,0.058911,0.39801,0.33395,1.793,0.31907,1.0534,0.15331,-0.11597,0.078982,1.8686,1763.6,1.8049,0.77719,12.441,0.19875,0.14053,493.1,0.13759,0.43251,-0.022115,-0.0007505,-0.0011899,0.14563,3.6373,7.0213,1.1538,9.8951,6.4467,30.245,10.3,8747.0,11.946,15.2,20.7,0.0,35.0,120.87,36.07,35.273,17.0,15.0,-0.2,12,0.003775,30,46
4,4,0.22253,0,0.92927,0.044282,0.6581,0.62542,0.069817,-0.046241,0.19544,0.070804,0.12952,5.31e-05,0.60752,2.2469,0.3419,1.9248,6.4299,0.11163,1.1032,0.020012,0.049682,0.03061,1.0295,1.9419,0.20375,0.65376,152.94,12.935,-13.525,0.033381,0.0043382,0.12777,3.2032,0.2043,0.99341,1.3855,55.988,0.07289,0.012688,0.031997,0.024716,0.32206,1.8292,-0.10621,1.0616,0.1375,-0.13525,0.067288,1.9518,1180.9,1.9121,0.79625,12.465,0.14889,0.12743,495.62,-0.056086,0.45142,-0.003412,0.00040294,0.00064427,0.1405,5.1442,9.9099,2.0408,-1.4903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4.0,33.0,54.806,39.8,38.377,17.167,16.0,5.6,12,0.00018333,31,47
